,id,name,symbol,slug,tags,cmcRank,marketPairCount,circulatingSupply,totalSupply,maxSupply,isActive,lastUpdated,dateAdded,quotes,isAudited,auditInfoList,platform
2384,5425,MESEFA,SEFA,mesefa,[],2385,1,430655.0,963000000.0,963000000.0,1,2021-08-16T13:36:04.000Z,2020-04-09T00:00:00.000Z,"[{'name': 'USD', 'price': 0.09810403072426, 'volume24h': 1023.31086987, 'marketCap': 42248.99135155619, 'percentChange1h': 0.02962629, 'percentChange24h': -1.9839207, 'percentChange7d': 2.16405469, 'lastUpdated': '2021-08-16T13:36:04.000Z', 'percentChange30d': 6.57662223, 'percentChange60d': 22.59317084, 'percentChange90d': -14.83616752, 'fullyDilluttedMarketCap': 94474181.59, 'marketCapByTotalSupply': 94474181.58746238, 'dominance': 0.0, 'turnover': 0.02422095, 'ytdPriceChangePercentage': -64.0002}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x27201232579491Ce9b116Ac6F37D354Cc723A2f3'}"
2385,1089,ParallelCoin,DUO,parallelcoin,"['mineable', 'pow', 'scrypt']",2386,4,314718.641345,314718.641345,,1,2021-08-16T13:36:02.000Z,2015-10-24T00:00:00.000Z,"[{'name': 'USD', 'price': 0.13406885661567, 'volume24h': 1.475e-05, 'marketCap': 42193.968400761274, 'percentChange1h': -0.68227765, 'percentChange24h': -89.04718187, 'percentChange7d': -11.44690737, 'lastUpdated': '2021-08-16T13:36:02.000Z', 'percentChange30d': 62.8451622, 'percentChange60d': -99.46885743, 'percentChange90d': -70.60218795, 'fullyDilluttedMarketCap': 42193.97, 'marketCapByTotalSupply': 42193.968400761274, 'dominance': 0.0, 'turnover': 0.0, 'ytdPriceChangePercentage': -66.0138}]",False,,
2386,2241,Ccore,CCO,ccore,[],2387,2,1699999.0,10000000.0,,1,2021-08-16T13:36:03.000Z,2017-12-01T00:00:00.000Z,"[{'name': 'USD', 'price': 0.02431783014871, 'volume24h': 112.76413174, 'marketCap': 41340.28693497685, 'percentChange1h': -20.46490085, 'percentChange24h': -9.90499066, 'percentChange7d': -27.21566657, 'lastUpdated': '2021-08-16T13:36:03.000Z', 'percentChange30d': 27.50339215, 'percentChange60d': 99.55004815, 'percentChange90d': -15.32179331, 'fullyDilluttedMarketCap': 243178.3, 'marketCapByTotalSupply': 243178.3014871, 'dominance': 0.0, 'turnover': 0.00272771, 'ytdPriceChangePercentage': 241.8556}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x679badc551626e01b23ceecefbc9b877ea18fc46'}"
2387,3302,UChain,UCN,uchain,[],2388,2,305346956.899701,823600646.899701,,1,2021-08-16T13:36:03.000Z,2018-09-17T00:00:00.000Z,"[{'name': 'USD', 'price': 0.00013498986311, 'volume24h': 908.67329008, 'marketCap': 41218.743912945705, 'percentChange1h': -0.36735791, 'percentChange24h': 3.41731441, 'percentChange7d': 6.082908, 'lastUpdated': '2021-08-16T13:36:03.000Z', 'percentChange30d': 11.78312226, 'percentChange60d': 94.04582013, 'percentChange90d': 55.39537695, 'fullyDilluttedMarketCap': 111177.74, 'marketCapByTotalSupply': 111177.73858229809, 'dominance': 0.0, 'turnover': 0.02204515, 'ytdPriceChangePercentage': 68.9485}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaaf37055188feee4869de63464937e683d61b2a1'}"
2388,3497,Bitcoin Zero,BZX,bitcoin-zero,['mineable'],2389,2,29010752.366602,29010752.366602,40000000.0,1,2021-08-16T13:36:04.000Z,2018-10-24T00:00:00.000Z,"[{'name': 'USD', 'price': 0.0014123479881, 'volume24h': 1.89207552, 'marketCap': 40973.27773823765, 'percentChange1h': -0.68372649, 'percentChange24h': 2.49813288, 'percentChange7d': -22.96771278, 'lastUpdated': '2021-08-16T13:36:04.000Z', 'percentChange30d': 120.38789899, 'percentChange60d': -27.3124721, 'percentChange90d': -31.91493873, 'fullyDilluttedMarketCap': 56493.92, 'marketCapByTotalSupply': 40973.27773823765, 'dominance': 0.0, 'turnover': 4.618e-05, 'ytdPriceChangePercentage': -46.6328}]",False,,
2389,3649,Plus-Coin,NPLC,plus-coin,[],2390,2,469946471.449317,900000000.0,,1,2021-08-16T13:36:05.000Z,2018-12-26T00:00:00.000Z,"[{'name': 'USD', 'price': 8.700091675e-05, 'volume24h': 40.44849219, 'marketCap': 40885.77383951828, 'percentChange1h': -1.7839229, 'percentChange24h': 5.23154355, 'percentChange7d': -19.47586875, 'lastUpdated': '2021-08-16T13:36:05.000Z', 'percentChange30d': -15.32214598, 'percentChange60d': 26.22810549, 'percentChange90d': -45.12259773, 'fullyDilluttedMarketCap': 78300.83, 'marketCapByTotalSupply': 78300.825075, 'dominance': 0.0, 'turnover': 0.0009893, 'ytdPriceChangePercentage': 91.1268}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x97fb6fc2ad532033af97043b563131c5204f8a35'}"
2390,3165,Arion,ARION,arion,[],2391,1,14441206.0,14441206.0,21000000.0,1,2021-08-16T13:36:03.000Z,2018-08-13T00:00:00.000Z,"[{'name': 'USD', 'price': 0.00282469597621, 'volume24h': 10.60022717, 'marketCap': 40792.01647981971, 'percentChange1h': -0.68372649, 'percentChange24h': 2.49813288, 'percentChange7d': -11.99817382, 'lastUpdated': '2021-08-16T13:36:03.000Z', 'percentChange30d': 28.49915444, 'percentChange60d': -27.3124721, 'percentChange90d': -19.34309547, 'fullyDilluttedMarketCap': 59318.62, 'marketCapByTotalSupply': 40792.01647981971, 'dominance': 0.0, 'turnover': 0.00025986, 'ytdPriceChangePercentage': -51.9189}]",False,,
2391,1850,Cream,CRM,cream,"['mineable', 'masternodes', 'amm', 'yearn-partnerships']",2392,2,45108748.763317,45108748.763317,100000000.0,1,2021-08-16T13:36:06.000Z,2017-07-31T00:00:00.000Z,"[{'name': 'USD', 'price': 0.00089448951273, 'volume24h': 0.13670219, 'marketCap': 40349.30270115942, 'percentChange1h': -0.68365515, 'percentChange24h': -2.62650667, 'percentChange7d': -29.70877646, 'lastUpdated': '2021-08-16T13:36:06.000Z', 'percentChange30d': 89.74217868, 'percentChange60d': 21.14621214, 'percentChange90d': 13.48700402, 'fullyDilluttedMarketCap': 89448.95, 'marketCapByTotalSupply': 40349.30270115942, 'dominance': 0.0, 'turnover': 3.39e-06, 'ytdPriceChangePercentage': 21.8169}]",False,,
2392,2191,Paypex,PAYX,paypex,[],2393,2,149998018.29,150000000.0,,1,2021-08-16T13:36:03.000Z,2017-11-16T00:00:00.000Z,"[{'name': 'USD', 'price': 0.00026807658693, 'volume24h': 0.0, 'marketCap': 40210.956789446915, 'percentChange1h': -0.64525647, 'percentChange24h': 2.60911173, 'percentChange7d': 2.85222461, 'lastUpdated': '2021-08-16T13:36:03.000Z', 'percentChange30d': 52.59319324, 'percentChange60d': 22.85887245, 'percentChange90d': 161.15141009, 'fullyDilluttedMarketCap': 40211.49, 'marketCapByTotalSupply': 40211.4880395, 'dominance': 0.0, 'turnover': 0.0, 'ytdPriceChangePercentage': 817.7562}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x62a56a4a2ef4d355d34d10fbf837e747504d38d4'}"
2393,6912,Yield Stake Finance,YI12,yield-stake-finance,[],2394,2,11111.0,11111.0,11111.0,1,2021-08-16T13:36:06.000Z,2020-09-07T00:00:00.000Z,"[{'name': 'USD', 'price': 3.61383215218953, 'volume24h': 138.02296926, 'marketCap': 40153.28904297787, 'percentChange1h': 1.15040642, 'percentChange24h': 0.57360192, 'percentChange7d': 4.4130543, 'lastUpdated': '2021-08-16T13:36:06.000Z', 'percentChange30d': -12.12019521, 'percentChange60d': -28.51190786, 'percentChange90d': -42.09099313, 'fullyDilluttedMarketCap': 40153.29, 'marketCapByTotalSupply': 40153.28904297787, 'dominance': 0.0, 'turnover': 0.0034374, 'ytdPriceChangePercentage': -11.3415}]",False,,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x03e4bdce611104289333f35c8177558b04cc99ff'}"
